Question,Answer,Gold Answer
What is included in the total income of an Assessee from business or profession during the income year?,income deemed to be the income of the assessee under section 19,"Profits and gains of any business or profession carried on, or deemed to be carried on, by the Assessee at any time during the income year."
What kind of income is received by trade or professional associations for services to members?,income derived on account of fees for professional or technical services,Income derived from any trade or professional association or other association of like nature on account of specific services performed for its members.
"If a large part of the rented premises is used as a house, is the full repair cost allowed?",the amount shall be a proportionate part of the sum paid,"Value of any benefit or perquisite, whether convertible into money or not, arising from business or the exercise of a profession."
How is interest income on bad or doubtful debts treated?,income by way of interest in relation to such categories of bad or doubtful debts as the Bangladesh Bank may classify,The income by way of interest in relation to such categories of bad or doubtful debts as the Bangladesh Bank may classify.
What is allowed as deduction for rent?,the amount of any rent paid for the premises in which the business or profession is carried on,The amount of any rent paid for the premises in which the business or profession is carried on.
When is the repair cost of hired premises allowed?,if the Assessee has undertaken to bear the cost,The amount paid for the repair of the hired premises in which the business or profession is carried on.
What if a large part of the premises is used as a dwelling-house?,the amount shall be a proportionate part of the sum paid for such repair,"If a substantial part of the premises is used by the Assessee as a dwelling-house, the amount shall be a proportionate part of the rent."
What if the premises used for repair is also a dwelling-house?,the amount shall be a proportionate part of the sum paid for such repair,"Provided that if a substantial part of the premises is used by the Assessee as a dwelling-house, the amount shall be a proportionate part of the sum paid for such repair."
What interest or profit payment is allowed for capital borrowed?,the amount of any interest,The amount of any interest paid or any profit shared with a bank run on Islamic principles.
What if borrowed capital is used for cash or asset transfer?,the amount shall be proportionate part of the interest so paid or the profit so shared,"Provided that if any part of such capital relates to replenishing the cash or to any other asset transferred, the amount shall be proportionate."
What is allowed as a deduction for profit shared with a person having an Islamic profit and loss sharing account?,any sum paid or credited to any person maintaining a profit and loss sharing account or deposit with a bank run on Islamic principles,Any sum paid or credited to any person maintaining a profit and loss sharing account or deposit with a bank run on Islamic principles by way of distribution of profits by the said bank in respect of the said account of deposit.
What amount is allowed as a deduction for current repairs?,"the amount paid on account of current repairs to buildings, machinery, plant or furniture","The amount paid on account of current repairs to buildings, machinery, plant or furniture used for the purposes of the business or profession"
What amount can a financial institution reserve with government approval?,the aggregate amount standing in such reserve does not exceed the paid up share capital of the institution,An amount not exceeding five percent of the total income.
What repair cost is allowed as a deduction?,the amount paid for the repair of the hired premises in which the business or profession is carried on,"The amount paid on account of current repairs to buildings, machinery, plant or furniture."
What insurance premium is allowed for business assets?,depreciation,The whole or the proportionate part of the amount of any premium paid for insurance.
What investment allowance is given for new ships or trawlers?,special depreciation allowance,An investment allowance of an amount equivalent to twenty percent of the original cost.
What happens when business assets are discarded or sold?,sale-proceeds,"Discarded, demolished or destroyed, sold, transferred by way of exchange, or compulsorily acquired."
"What allowances are given when machinery, plant, furniture, and building are let together?",normal depreciation allowance,"The same allowances as are admissible for income from business or profession, subject to the same conditions and limitations."
"How is income from agriculture, business, or other sources computed?","(1) In computing the income under the head ""Agricultural income"", the allowances and deductions shall be made",All income shall be computed in accordance with the method of accounting regularly employed by the assessee.
What type of loss can be carried forward under Section 38?,business losses,"A loss from the computation of income under the head ""Income from business or profession"", excluding speculation business losses, can be carried forward."
What condition must be met for the loss to be carried forward?,"the loss computed under the head ""Capital gains"" does not exceed five thousand taka",The loss must not be wholly set off under Section 37 in the same assessment year.
For how many years can the unadjusted business loss be carried forward?,six,It can be carried forward for up to six successive assessment years.
"Can the loss be set off against income from other heads like ""Capital gains""?","the assessee shall, subject to the other provisions of this Ordinance, be entitled to have the amount of such loss set off against his income, if any, assessed for that assessment year under any other head","No, it can only be set off against income from the same business or profession for which the loss was originally computed, and only if that business continues."
What happens if the business for which the loss was computed is not continued?,the amount of the loss not so set off shall be carried forward to the next assessment year and so on for not more than six successive assessment years,"If the business is not continued, the loss cannot be set off or carried forward under Section 38."
What type of business loss is discussed in Section 39?,speculation business,Loss from speculation business.
